#z               total           rms=0            rms=1         rms=3           rms=5            rms=6           rms=7.3        rms=10          rms=23        rms=40          rms=70          rms=100  
0.2075 6.1583E+04  6.3495E+04  6.1583E+04  5.5923E+04  5.0040E+04  4.7086E+04  4.3334E+04  3.6093E+04  1.4755E+04  6.5770E+03  2.9024E+03  1.6728E+03
0.4079 1.9672E+05  1.9467E+05  1.5848E+05  8.6768E+04  4.6906E+04  3.6206E+04  2.7169E+04  1.7138E+04  4.9955E+03  1.9185E+03  6.0490E+02  2.4460E+02
0.6236 3.7297E+05  3.6913E+05  1.8590E+05  4.6325E+04  2.2333E+04  1.7240E+04  1.2950E+04  7.9467E+03  1.6864E+03  4.1474E+02  5.7243E+01  1.5113E+01
0.8277 5.3439E+05  5.2908E+05  1.2525E+05  4.6336E+04  1.2291E+04  9.1389E+03  6.5554E+03  1.4141E+03  1.0242E+01  6.1483E+01  5.2157E+00  7.9027E-01
0.9880 6.2285E+05  6.1657E+05  8.1008E+04  1.6766E+04  7.2382E+03  3.9659E+03  3.4754E+02  1.0087E+03  1.2372E+01 1.3484E+01  6.9505E-01  4.1703E-01
1.1734 7.1108E+05  7.0414E+05  8.1862E+04  9.8259E+03  3.6771E+03  1.4431E+03  1.0038E+03  3.0181E+02  2.2515E+01  3.0471E+00  3.3857E-01  0.0000E+00
1.3897 7.4307E+05  7.3590E+05  2.8578E+04  4.2652E+03  1.2140E+03  7.0277E+02  3.5296E+01  1.1183E+02  0.8914E+00  3.4946E-01  3.4946E-01  0.0000E+00
1.6303 8.5228E+05  8.5228E+05  1.8606E+04  2.0219E+03  4.2485E+02  2.0665E+02  9.4173E+01  2.3632E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
1.7666 8.6718E+05  8.5834E+05  1.3350E+04  1.1360E+03  1.9018E+02  8.5795E+01  3.7524E+00  9.7223E+00  1.0057E+00  0.0000E+00  0.0000E+00  0.0000E+00
2.0700 8.5438E+05  8.4544E+05  5.6054E+04  2.4147E+02  2.9018E+01  1.1959E+00  1.6278E+00  2.1104E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
