#z              	rms=0       	rms=1        	 rms=3      		rms=5     	 rms=6       	rms=7.3      	rms=10      	rms=23      	rms=40     	rms=70     	    rms=100    		rms=150 	 rms=200
0.020000   3.958216E-01   3.958216E-01   3.957907E-01   3.957289E-01   3.957289E-01   3.956979E-01   3.955434E-01   3.948326E-01   3.934418E-01   3.897948E-01   3.856842E-01   3.785757E-01   3.710962E-01
0.041000   9.037836E-01   9.036342E-01   9.030366E-01   9.019161E-01   9.012438E-01   9.001980E-01   8.977329E-01   8.833160E-01   8.621762E-01   8.229592E-01   7.829205E-01   7.160724E-01   6.477377E-01
0.064500   2.610700E-01   2.609318E-01   2.600868E-01   2.588578E-01   2.581265E-01   2.570665E-01   2.547897E-01   2.423181E-01   2.259844E-01   1.963986E-01   1.679804E-01   1.274317E-01   9.634040E-02
0.116000   2.318137E-01   9.129723E-02   2.257407E-01   2.197863E-01   2.167993E-01   2.127737E-01   2.044950E-01   1.636355E-01   1.167525E-01   6.360560E-02   3.875563E-02   2.135155E-02   1.404215E-02
0.144000   2.307352E-01   2.283847E-01   2.192651E-01   2.091606E-01   2.043152E-01   1.978152E-01   1.841325E-01   1.238734E-01   7.096767E-02   3.240194E-02   1.912102E-02   1.052270E-02   6.778335E-03
0.207500   2.209548E-01   2.146522E-01   1.956743E-01   1.759228E-01   1.660521E-01   1.534102E-01   1.288867E-01   5.426913E-02   2.427905E-02   1.070677E-02   6.208570E-03   3.131029E-03   1.796477E-03
0.407900   2.021127E-01   1.652173E-01   9.142653E-02   4.976069E-02   3.843866E-02   2.884709E-02   1.819739E-02   5.303132E-03   2.039229E-03   6.438232E-04   2.615777E-04   7.841229E-05   2.671736E-05
0.623600   3.051156E-01   2.265126E-02   4.303090E-03   1.615864E-03   1.076278E-03   6.641734E-04   2.678050E-04   1.015377E-05   1.241884E-06   1.461018E-07   0.000000E+00   0.000000E+00   0.000000E+00
0.827700   2.319455E-01   5.541959E-02   1.165156E-02   5.437573E-03   4.041702E-03   2.900128E-03   1.602585E-03   2.099635E-04   2.787894E-05   2.227908E-06   3.612807E-07   0.000000E+00   0.000000E+00
0.988000   1.948907E-01   2.587950E-02   5.367256E-03   2.322088E-03   1.658189E-03   1.115926E-03   5.504749E-04   4.045500E-05   4.286191E-06   2.186829E-07   0.000000E+00   0.000000E+00   0.000000E+00
1.173400   1.900535E-01   1.410906E-02   2.680349E-03   1.006512E-03   6.703896E-04   4.136950E-04   1.668112E-04   6.324902E-06   7.735512E-07   9.100429E-08   0.000000E+00   0.000000E+00   0.000000E+00
1.389700   1.744574E-01   6.774892E-03   1.011137E-03   2.877990E-04   1.666034E-04   8.367506E-05   2.651117E-05   1.325535E-06   8.284533E-08   8.284533E-08   0.000000E+00   0.000000E+00   0.000000E+00
1.630300   1.845059E-01   4.027921E-03   4.377111E-04   9.197368E-05   4.473664E-05   2.038705E-05   5.115975E-06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
1.766600   1.793560E-01   2.789573E-03   2.373749E-04   3.973940E-05   1.792745E-05   7.840895E-06   2.031541E-06   3.564176E-08   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
2.070000   1.680675E-01   1.114314E-03   4.800254E-05   5.768575E-06   2.377365E-06   1.118767E-06   4.195327E-07   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
